provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Jawa Barat,Kab. Cianjur,15.18,18.44,99.97,97.6,6.39,83.25,110.58,102.24,2.7837759116303458,2.967332799032293,4.614823443016229,4.591071261608589,2.0001277349601105,4.433788569232471,4.714741822417382,4.637056374850413
Jawa Barat,Kab. Cirebon,18.53,22.75,115.24,115.43,8.18,91.82,101.74,102.87,2.9719517448885875,3.1675825304806504,4.755657019262028,4.7572902340489245,2.217027204632399,4.5306621338130295,4.632201525039122,4.64314011723972
Jawa Barat,Kab. Garut,11.2,12.69,109.47,105.79,3.64,101.6,101.08,100.68,2.501435951739211,2.6166656393003573,4.704743990884184,4.670864289183454,1.534714366238164,4.630837932736669,4.6257568195964796,4.621830626881199
Jawa Barat,Kab. Indramayu,17.81,21.89,100.94,98.44,5.38,104.96,131.3,101.38,2.934388643312939,3.1307001339644756,4.624384404911896,4.599554447202456,1.8531680973566984,4.663061664403869,4.88507207112091,4.628691381029437
Jawa Barat,Kab. Karawang,32.64,49.51,103.56,97.79,25.98,103.96,105.97,100.14,3.5157158351047473,3.9221713364799613,4.649761069315966,4.592996385056383,3.2950958507796098,4.653579325195778,4.672548421318039,4.616505695651837
Jawa Barat,Kab. Kuningan,10.77,12.31,99.62,100.22,4.31,56.67,82.15,99.66,2.4655539212721855,2.58851563240702,4.611351045063173,4.617296365785932,1.6695918352538475,4.0547371076273215,4.420646205638937,4.611748501348214
Jawa Barat,Kab. Majalengka,17.51,21.23,89.4,89.15,5.14,90.83,80.63,100.05,2.9183111265854063,3.101442727976105,4.504244267398131,4.501474949649326,1.814824742159051,4.519939041625431,4.402196841463264,4.61561544384963
Jawa Barat,Kab. Pangandaran,18.2,22.24,138.73,136.6,5.72,101.29,67.32,100.7,2.954910279033736,3.1458749319837103,4.939711989092356,4.924350925499243,1.9050881545350582,4.627811916468916,4.224202549480315,4.622027303054514
Jawa Barat,Kab. Purwakarta,23.39,30.54,94.77,93.44,14.26,72.74,69.65,100.57,3.194173212227829,3.451256581534892,4.561949483533528,4.547964712217312,2.725235025856311,4.300545392805998,4.257738109130536,4.6207482159514095
Jawa Barat,Kab. Subang,18.09,22.42,114.98,109.62,9.55,86.93,88.4,98.11,2.949164637737656,3.1535903581695712,4.7534177624482945,4.706100904566532,2.3561258599220753,4.4765410433909105,4.493120682179469,4.596230344418617
Jawa Barat,Kab. Sukabumi,17.33,21.1,105.77,104.82,6.81,112.91,102.57,100.31,2.9085390618516134,3.095577608523707,4.670676988190211,4.661739537475985,2.0554049638515948,4.735408662911821,4.640247712600788,4.618185123065586
Jawa Barat,Kab. Sumedang,18.23,22.3,101.73,104.46,7.83,82.99,76.74,102.62,2.9564715596006885,3.1484533605716547,4.6321041872281725,4.658331734102323,2.178155014615869,4.430697744137536,4.353369925424077,4.640730361386642
Jawa Barat,Kab. Tasikmalaya,9.49,10.52,103.99,101.51,2.93,86.17,101.93,98.67,2.3504224224082058,2.444084655267745,4.65386510752685,4.62996035479531,1.3686394258811698,4.467860235023485,4.6340491455384685,4.601864728979365
Jawa Barat,Kota Bandung,42.5,74.0,100.46,93.66,33.13,91.38,95.15,97.68,3.7727609380946383,4.31748811353631,4.6196646321385435,4.5502915244781015,3.530176762918616,4.525910505002459,4.565909472034789,4.591882291661156
