provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Kalimantan Timur;Kab. Berau;5.89;6.29;129.18;126.63;1.99;118.59;103.76;98.03
Kalimantan Timur;Kab. Kutai Barat;4.63;4.87;107.1;83.26;0.75;152.91;101.5;79.03
Kalimantan Timur;Kab. Kutai Kartanegara;7.98;8.72;106.88;130.99;1.82;97.02;109.22;130.87
Kalimantan Timur;Kab. Kutai Timur;4.1;4.59;144.6;141.36;1.39;148.13;113.61;97.21
Kalimantan Timur;Kab. Mahakam Ulu;2.04;2.09;148.56;96.91;0.13;497.6;81.84;77.09
Kalimantan Timur;Kab. Paser;7.66;8.35;125.09;118.32;1.8;191.39;152.04;107.38
Kalimantan Timur;Kab. Penajam Paser Utara;5.55;5.91;115.71;110.2;1.21;163.22;106.48;92.54
Kalimantan Timur;Kota Balikpapan;26.6;36.3;105.9;105.1;19.69;89.11;82.16;103.14
Kalimantan Timur;Kota Bontang;10.77;12.46;145.18;128.27;4.83;122.41;90.94;90.45
Kalimantan Timur;Kota Samarinda;21.04;26.74;119.19;111.35;15.12;143.38;156.09;110.01
Kalimantan Utara;Kab. Bulungan;12.94;14.89;127.26;108.3;3.96;146.76;134.09;91.97
Kalimantan Utara;Kab. Malinau;3.71;3.86;114.11;89.1;0.69;150.66;114.94;86.32
Kalimantan Utara;Kab. Nunukan;10.88;12.29;119.45;104.89;5.43;190.99;480.36;89.41
Kalimantan Utara;Kab. Tana Tidung;2.46;2.52;120.2;100.99;0.72;156.94;206.51;87.29
Kalimantan Utara;Kota Tarakan;15.06;17.79;107.01;108.9;7.46;108.83;107.01;108.92
Kepulauan Bangka Belitung;Kab. Bangka;14.34;16.74;97.21;93.21;5.72;109.07;106.84;109.3
Kepulauan Bangka Belitung;Kab. Bangka Barat;7.41;8.1;108.87;99.76;2.74;102.18;90.91;105.23
Kepulauan Bangka Belitung;Kab. Bangka Selatan;6.66;7.2;102.38;107.89;2.87;99.97;68.66;109.55
Kepulauan Bangka Belitung;Kab. Bangka Tengah;11.05;12.55;111.84;105.44;5.58;97.78;82.89;103.63
Kepulauan Bangka Belitung;Kab. Belitung;16.7;20.28;111.45;100.57;8.42;131.78;118.11;99.2
Kepulauan Bangka Belitung;Kab. Belitung Timur;11.76;13.47;107.49;97.36;6.05;95.95;80.25;101.8
Kepulauan Bangka Belitung;Kota Pangkal Pinang;18.95;23.56;112.76;113.87;12.05;116.11;110.35;105.76
Kepulauan Riau;Kab. Bintan;24.85;33.2;98.96;95.5;19.79;89.32;86.06;100.38
Kepulauan Riau;Kab. Karimun;30.27;43.64;99.9;92.2;23.35;93.11;120.19;100.77
Kepulauan Riau;Kab. Kepulauan Anambas;2.7;2.79;85.98;77.69;1.63;68.92;72.3;98.19
Kepulauan Riau;Kab. Lingga;5.13;5.45;101.02;103.98;2.76;71.73;63.01;113.33
Kepulauan Riau;Kab. Natuna;6.85;7.4;126.37;110.26;4.11;177.5;368.89;88.08
Kepulauan Riau;Kota Batam;49.27;97.7;96.5;92.24;39.51;92.22;91.26;98.04
Kepulauan Riau;Kota Tanjung Pinang;16.7;20.29;100.69;100.88;9.54;85.79;68.78;110.13
Lampung;Kab. Lampung Barat;6.97;7.5;101.99;100.42;1.51;104.71;103.73;99.86
Lampung;Kab. Lampung Selatan;15.5;18.34;100.43;96.77;7.56;97.09;81.05;96.32
Lampung;Kab. Lampung Tengah;9.02;9.93;96.86;93.45;5.06;89.02;103.05;98.35
Lampung;Kab. Lampung Timur;9.2;10.13;98.17;93.27;3.93;92.78;107.32;98.34
Lampung;Kab. Lampung Utara;6.19;6.6;94.5;90.89;2.43;70.06;92.51;97.84
Lampung;Kab. Mesuji;9.33;10.3;104.49;98.77;3.11;119.92;99.35;102.31
Lampung;Kab. Pesawaran;7.26;7.83;92.94;92.34;3.37;52.19;55.58;101.23
Lampung;Kab. Pesisir Barat;2.84;2.98;91.61;86.32;1.71;22.41;100.59;100.03
Lampung;Kab. Pringsewu;11.66;13.2;99.74;98.17;3.58;107.18;88.19;100.71
Lampung;Kab. Tanggamus;3.43;3.63;83.37;83.78;1.52;51.06;118.46;100.44
Lampung;Kab. Tulang Bawang;9.83;10.9;91.29;92.2;3.0;91.28;81.8;102.18
Lampung;Kab. Tulang Bawang Barat;5.97;6.35;99.55;94.59;3.1;105.41;103.19;92.1
Lampung;Kab. Way Kanan;5.95;6.33;100.28;100.77;1.71;95.96;105.86;100.9
Lampung;Kota Bandar Lampung;30.21;43.28;95.93;96.32;23.78;86.83;105.14;99.04
Lampung;Kota Metro;29.53;41.9;106.7;107.67;4.29;120.86;105.48;102.14
Maluku;Kab. Buru;3.95;4.15;96.1;94.08;1.62;77.04;78.33;97.75
Maluku;Kab. Buru Selatan;2.87;2.98;98.97;92.07;0.72;52.73;71.47;96.06
